place,rating,comment,clean_comment,label,cluster
Gunung Bromo,5,"Mount Bromo is a truly magical place.

Climbing up to the crater is an unforgettable experience – you can see steam rising from inside and hear the deep, almost boiling sounds coming from the volcano. It feels raw and powerful, like nature at its core.

The hike is quite steep, and there are no protective fences at the top, so be very careful – it’s easy to get too close to the edge.

The sunrise viewpoint before heading to the crater is absolutely stunning and definitely worth it.

A quick tip: dress warm, but not too warm – you don’t want to overheat during the climb. The temperature is around 12°C in April. A fleece layer, a light windproof jacket, thermal underwear, comfortable pants, and warm socks will be enough. Also consider a beanie, neck protection, and light gloves.

Highly recommended – this place truly leaves a lasting impression.

We visited with Beng Beng Travel & Tour guides, and it was a great experience.",mount bromo is a truly magical place climbing up to the crater is an unforgettable experience you can see steam rising from inside and hear the deep almost boiling sounds coming from the volcano it feels raw and powerful like nature at its core the hike is quite steep and there are no protective fences at the top so be very careful its easy to get too close to the edge the sunrise viewpoint before heading to the crater is absolutely stunning and definitely worth it a quick tip dress warm but not too warm you dont want to overheat during the climb the temperature is around c in april a fleece layer a light windproof jacket thermal underwear comfortable pants and warm socks will be enough also consider a beanie neck protection and light gloves highly recommended this place truly leaves a lasting impression we visited with beng beng travel tour guides and it was a great experience,Puas,2
Gunung Bromo,5,"FANTASTIC! It was less than 2miles round trip but between walking across the shifting sea of sands, crumbly uphill and 250 steps, the ~500ft elevation gain felt challenging given that we had got acclimatized to sea level. My altimeter measured 7,020ft/2,175m elevation at the start and 7,505ft/2,287m at the crater rim vs 31ft/9m at our home stay in Probolinggo. We started our hike at 6:20am and it was relatively uncrowded. The hike did feel very pleasant and not too cold or hot. The views at every moment were spectacular! When we did get to the top, the sounds and smells of the volcano were thrilling. Absolutely wonderful overall experience!

Practical Considerations:
- there are LOTS of jeeps here too so keep track of where you park and the license plate if your vehicle
- dress in layers as it could be cool/cold to start and warm after walking to the top.
- consider bring a mask/buff to block out the dust kicked up by people and horses
- Be aware that there could be a lot of horses to walk past to get to the stairs, and they could buck/kick if spooked.
- when the wind shifts the direction of the thick white plumes from Mt Bromo, it can cause irritation to eyes, skin and lungs as the sulphur compounds in the emissions mix with moisture in those areas forming sulphuric acid. This was primarily why we limited our time at the top as we did not have gas masks.",fantastic it was less than miles round trip but between walking across the shifting sea of sands crumbly uphill and steps the ft elevation gain felt challenging given that we had got acclimatized to sea level my altimeter measured ftm elevation at the start and ftm at the crater rim vs ftm at our home stay in probolinggo we started our hike at am and it was relatively uncrowded the hike did feel very pleasant and not too cold or hot the views at every moment were spectacular when we did get to the top the sounds and smells of the volcano were thrilling absolutely wonderful overall experience practical considerations there are lots of jeeps here too so keep track of where you park and the license plate if your vehicle dress in layers as it could be coolcold to start and warm after walking to the top consider bring a maskbuff to block out the dust kicked up by people and horses be aware that there could be a lot of horses to walk past to get to the stairs and they could buckkick if spooked when the wind shifts the direction of the thick white plumes from mt bromo it can cause irritation to eyes skin and lungs as the sulphur compounds in the emissions mix with moisture in those areas forming sulphuric acid this was primarily why we limited our time at the top as we did not have gas masks,Puas,2
Gunung Bromo,5,"If you are considering going to Mount Bromo without a jeep tour, definitely bring a motorbike that is above 125 cc. This will help you get across the sea of sand if you choose to ride instead of walk. I rented one in Surabaya and the drive to Bromo and back was horrible. There’s so much traffic and the road is packed. It takes much much longer than Google maps says. So, if you’re opting to rent a scooter, rent one in Probolinggo and the drive will be much shorter and mostly on a beautiful mountain road.

I also highly recommend going to the crater first. Most people go to the Sunrise Hill, which may or may not have a good view, depending on the clouds and will definitely be crowded with people and jeeps. Going to the crater first allows you the chance to see the red flames inside. And you will have it all to yourself. Then, you can proceed to Seruni point after sunrise to see the panorama and again have the place all to yourself!",if you are considering going to mount bromo without a jeep tour definitely bring a motorbike that is above cc this will help you get across the sea of sand if you choose to ride instead of walk i rented one in surabaya and the drive to bromo and back was horrible theres so much traffic and the road is packed it takes much much longer than google maps says so if youre opting to rent a scooter rent one in probolinggo and the drive will be much shorter and mostly on a beautiful mountain road i also highly recommend going to the crater first most people go to the sunrise hill which may or may not have a good view depending on the clouds and will definitely be crowded with people and jeeps going to the crater first allows you the chance to see the red flames inside and you will have it all to yourself then you can proceed to seruni point after sunrise to see the panorama and again have the place all to yourself,Puas,2
Gunung Bromo,5,"Absolutely incredible stunning place in Indonesia and a must do, Its hard getting up so early in the morning to take the cool jeeps up the mountain for the sunset of Mt bromo and unfortunately we didnt get the beautiful sunset we were hoping for but it was still totally worth it once we got down to the base of mt bromo the the fog had cleared and it was gorgeous seeing the mountains and all the horses you can also rent for a ride, then once we hiked to the top of Mt bromo what wasnt to bad it was so incredible seeing the volcano plume its smoke and hear it roar. It is a bucket list worthy place and I highly recommend going to it.",absolutely incredible stunning place in indonesia and a must do its hard getting up so early in the morning to take the cool jeeps up the mountain for the sunset of mt bromo and unfortunately we didnt get the beautiful sunset we were hoping for but it was still totally worth it once we got down to the base of mt bromo the the fog had cleared and it was gorgeous seeing the mountains and all the horses you can also rent for a ride then once we hiked to the top of mt bromo what wasnt to bad it was so incredible seeing the volcano plume its smoke and hear it roar it is a bucket list worthy place and i highly recommend going to it,Puas,2
Malioboro,5,"The road is always busy with various domestic and foreign tourists. The food is delicious and cheap, suitable for a place to buy souvenirs.",the road is always busy with various domestic and foreign tourists the food is delicious and cheap suitable for a place to buy souvenirs,Puas,2
Malioboro,5,"Jogja, Malioboro, and around km.0 at night. Nice time to wait for to see crowd gathering doing anything.",jogja malioboro and around km at night nice time to wait for to see crowd gathering doing anything,Puas,2
Malioboro,5,"Yesterday, i visited Malioboro. Malioboro is one of the most popular tourist attractions in Yogyakarta. One thing that i liked about Malioboro is its facilities. There are many benches along the sidewalk, a Tourist Information Center, a bus stop, and free drinking water refill stations. It is also a perfect place for shopping and enjoying local culinary experiences. Visitors can also take photos because there are plenty of good spots. However, Malioboro can be very crowded during weekends and holidays. The weather is also quite hot during the daytime. Overall, i enjoyed my visit to Malioboro. It is a good destination for those who want to explore Yogyakarta and enjoy its lively atmosphere.🍃😌🫶🏻🫰🏻🌷",yesterday i visited malioboro malioboro is one of the most popular tourist attractions in yogyakarta one thing that i liked about malioboro is its facilities there are many benches along the sidewalk a tourist information center a bus stop and free drinking water refill stations it is also a perfect place for shopping and enjoying local culinary experiences visitors can also take photos because there are plenty of good spots however malioboro can be very crowded during weekends and holidays the weather is also quite hot during the daytime overall i enjoyed my visit to malioboro it is a good destination for those who want to explore yogyakarta and enjoy its lively atmosphere,Puas,1
Malioboro,5,"This place is very nice and good.You can find many delicious tradisional food, You should try it.",this place is very nice and goodyou can find many delicious tradisional food you should try it,Puas,2
Malioboro,5,"Visited Malioboro area pretty early this time.  Arrived about 7 in thr morning. From middle area of Malioboro street to the Vredeburg, people were walking the pedestrian or stop to sit or enjoying street breakfast or take pictures. Some stores especially those nearby Beringharjo Market already opened.
Visited it many times. Never get bored.",visited malioboro area pretty early this time arrived about in thr morning from middle area of malioboro street to the vredeburg people were walking the pedestrian or stop to sit or enjoying street breakfast or take pictures some stores especially those nearby beringharjo market already opened visited it many times never get bored,Puas,2
Raja Ampat,5,"Raja Ampat was honestly one of the prettiest places i’ve ever been to. super grateful i got to experience it. the water, the views, the snorkeling spots, the whole vibe there just felt so special. the kids at Yenbuba Island were also so sweet, especially Marinus. if anyone meets him, titip salam from me. definitely one of those places that stays in your head even after you leave 🤍 wish i had a GoPro or a drone",raja ampat was honestly one of the prettiest places ive ever been to super grateful i got to experience it the water the views the snorkeling spots the whole vibe there just felt so special the kids at yenbuba island were also so sweet especially marinus if anyone meets him titip salam from me definitely one of those places that stays in your head even after you leave wish i had a gopro or a drone,Puas,2
Raja Ampat,5,"I don't understand why so many people go to Bali and ignore this stunning island. I only go to Bali to visit my friend, but this island is much better for me.",i dont understand why so many people go to bali and ignore this stunning island i only go to bali to visit my friend but this island is much better for me,Puas,0
Raja Ampat,5,"Great spot for divers and snorkelers. You can live abroad on a dive ship or on land in many beach villas, overwater villas or home stays, depending on your budget and interests. Incredible spot with many islands and villages with incredibly hospitable and beautiful people.",great spot for divers and snorkelers you can live abroad on a dive ship or on land in many beach villas overwater villas or home stays depending on your budget and interests incredible spot with many islands and villages with incredibly hospitable and beautiful people,Puas,2
Danau Toba,5,"Stunning landscape, well worth a visit. Very friendly locals around the lake.",stunning landscape well worth a visit very friendly locals around the lake,Puas,1
Danau Toba,5,Beautiful Danau Toba but too bad we didn't have time to go up to the viewing point as we were on a day tour. It was hot and humid but there was a cooling breeze due to high elevation. Our cruise Star Voyager docked on Kuala Tanjung so it was about a 3 hour journey to Lake Toba,beautiful danau toba but too bad we didnt have time to go up to the viewing point as we were on a day tour it was hot and humid but there was a cooling breeze due to high elevation our cruise star voyager docked on kuala tanjung so it was about a hour journey to lake toba,Puas,2
Danau Toba,5,"Review of Lake Toba and Samosir Island

Lake Toba and Samosir Island offer a breathtaking escape into nature’s tranquility. The moment you arrive, the sheer beauty of the landscape captivates you. The lake itself, an immense volcanic crater, stretches endlessly with its calm, crystal-clear waters reflecting the lush green surroundings. It’s a sight that feels almost surreal, making you question whether you’re still in Indonesia or have stumbled into a hidden paradise.

The greenery is overwhelming in the best possible way—everywhere you look, you’re greeted by rolling hills blanketed in vibrant foliage. The air is fresh and crisp, adding to the sense of serenity that envelopes the area. Samosir Island, nestled at the heart of the lake, feels like a world of its own, with its charming villages, rich Batak culture, and an atmosphere of pure peace.

What makes Lake Toba and Samosir truly magical is how untouched and pristine everything feels. Despite its size and grandeur, the lake is wonderfully calm, exuding a quiet majesty that soothes the soul. It’s an experience unlike any other, a perfect destination for anyone seeking a retreat into natural beauty.

If you’re looking for a place that combines serenity, stunning vistas, and a unique cultural experience, Lake Toba and Samosir Island are an absolute must-visit.",review of lake toba and samosir island lake toba and samosir island offer a breathtaking escape into natures tranquility the moment you arrive the sheer beauty of the landscape captivates you the lake itself an immense volcanic crater stretches endlessly with its calm crystalclear waters reflecting the lush green surroundings its a sight that feels almost surreal making you question whether youre still in indonesia or have stumbled into a hidden paradise the greenery is overwhelming in the best possible wayeverywhere you look youre greeted by rolling hills blanketed in vibrant foliage the air is fresh and crisp adding to the sense of serenity that envelopes the area samosir island nestled at the heart of the lake feels like a world of its own with its charming villages rich batak culture and an atmosphere of pure peace what makes lake toba and samosir truly magical is how untouched and pristine everything feels despite its size and grandeur the lake is wonderfully calm exuding a quiet majesty that soothes the soul its an experience unlike any other a perfect destination for anyone seeking a retreat into natural beauty if youre looking for a place that combines serenity stunning vistas and a unique cultural experience lake toba and samosir island are an absolute mustvisit,Puas,2
Danau Toba,5,"Lake Toba in Medan really amazed me. The lake is so big, and the hills and mountains around it make the view beautiful and peaceful. It felt like the perfect place to relax and escape the busy city life.

I especially loved visiting Samosir Island. The Batak culture is interesting, and walking around the villages with views of the lake was amazing.
There’s a lot to do there, like boating or hiking to enjoy the views. Overall, Lake Toba is a place I’ll always remember, so calm and beautiful, it’s definitely worth visiting.🌟🌟🌟🌟 🌟",lake toba in medan really amazed me the lake is so big and the hills and mountains around it make the view beautiful and peaceful it felt like the perfect place to relax and escape the busy city life i especially loved visiting samosir island the batak culture is interesting and walking around the villages with views of the lake was amazing theres a lot to do there like boating or hiking to enjoy the views overall lake toba is a place ill always remember so calm and beautiful its definitely worth visiting,Puas,2
Pantai Kuta Bali,1,"Beach is dirty ,unkept with stones and rocks jutting out dangerously.
Congested with shops,cafes and freelance vendors pestering tourists, the only grace is the peaceful sunset views alongwith the flights taking off in the backdrop.
Lots of work under progress along the beach is hampering free movement to visitors .
Not worth a visit.",beach is dirty unkept with stones and rocks jutting out dangerously congested with shopscafes and freelance vendors pestering tourists the only grace is the peaceful sunset views alongwith the flights taking off in the backdrop lots of work under progress along the beach is hampering free movement to visitors not worth a visit,Kecewa,0
Pantai Kuta Bali,1,"I would not be exaggerating in saying that this was one of the dirtiest beaches I have visited. The water quality was quite poor, and I would not recommend it for swimming. However, it may still be suitable for a beach walk or enjoying the shoreline views",i would not be exaggerating in saying that this was one of the dirtiest beaches i have visited the water quality was quite poor and i would not recommend it for swimming however it may still be suitable for a beach walk or enjoying the shoreline views,Kecewa,2
Pantai Kuta Bali,5,"The beach is not the best, but the sunset here is one of the best in bali. Almost every time we visit bali, we visit kuta beach especially during sunset 🌇. This beach is also near the Hardrock cafe & shops and many restaurants from local foods to international menus.",the beach is not the best but the sunset here is one of the best in bali almost every time we visit bali we visit kuta beach especially during sunset this beach is also near the hardrock cafe shops and many restaurants from local foods to international menus,Puas,0
Pantai Kuta Bali,2,"The dirtiest beach I've seen in my time in Bali..I've seen many beautiful beaches in Bali, and finally I saw this one, but I was a little confused...polythene everywhere, it's disgusting to walk in the waves, the polythene floats in the water and gets stuck in your feet..., I was also confused when I saw little children begging around there...😥",the dirtiest beach ive seen in my time in baliive seen many beautiful beaches in bali and finally i saw this one but i was a little confusedpolythene everywhere its disgusting to walk in the waves the polythene floats in the water and gets stuck in your feet i was also confused when i saw little children begging around there,Kecewa,0
Pantai Parangtritis,5,We came to this beach by hiring a jeep. The price was expensive but the driver was skilled and friendly. The sand here is black in colour and the waves are very high but beautiful. It's nice to wait for the sunset here which is scenic and romantic.,we came to this beach by hiring a jeep the price was expensive but the driver was skilled and friendly the sand here is black in colour and the waves are very high but beautiful its nice to wait for the sunset here which is scenic and romantic,Puas,0
Pantai Parangtritis,5,"A fun beach escape with endless activities: — jeep rides on the sand dunes, paragliding, horse riding, andong rides, go-kart, swimming, and more 🌊✨",a fun beach escape with endless activities jeep rides on the sand dunes paragliding horse riding andong rides gokart swimming and more,Puas,2
Pantai Parangtritis,5,😍,,Puas,0
Kawah Ijen,5,"Absolutely amazingly stunning place in Indonesia and a must do, The hike is hard although you can pay someone to wheel you up and down and its hard getting up so early in the morning to see blue fire but it is so worth it and you will not be disappointed it is a bucket list worthy place and I highly recommend going to it.",absolutely amazingly stunning place in indonesia and a must do the hike is hard although you can pay someone to wheel you up and down and its hard getting up so early in the morning to see blue fire but it is so worth it and you will not be disappointed it is a bucket list worthy place and i highly recommend going to it,Puas,2
Kawah Ijen,5,"Get ready for a 2h hike up for one of the most breathtaking views on East Java.
If the way down is too steep, get a local « Lamborghini » to take you down for a small price",get ready for a h hike up for one of the most breathtaking views on east java if the way down is too steep get a local lamborghini to take you down for a small price,Puas,1
Kawah Ijen,5,"Not easy to go here, wake up early at 2m to move to the base of the mountain, 3-4 hours trekking to the top of Ijen. As long as you don't give up, you can reach there. If you can't trek for longer, don't worry, they have special taxi service to carry you there 😆",not easy to go here wake up early at m to move to the base of the mountain hours trekking to the top of ijen as long as you dont give up you can reach there if you cant trek for longer dont worry they have special taxi service to carry you there,Puas,2
Kawah Ijen,5,"My friend and I came from Bali by motorbike. It was a magical, surreal experience. The trekking lasted 2.5 hours. The journey started at 1 am, ended at sunrise in the mountain. At least once in a lifetime experience. Every moment was worth it.",my friend and i came from bali by motorbike it was a magical surreal experience the trekking lasted hours the journey started at am ended at sunrise in the mountain at least once in a lifetime experience every moment was worth it,Puas,2
Monas Jakarta,5,"For those who visit this place, FYI They’re CLOSED in every Monday. You can only take picture outside the monument. After second day visit, I finally can explore the Monument until reach the top of it. I spend time to see around, and finally found the gate to enter inside, to explore the museum and the top, you must buy the ticket under ground. Do not enter the gate around monument without ticket, you will be shouted from the security there and they asked you to enter from the ground. The ticket price for adult is 8K only museum visit, and 24K for peak monument visit.
Inside there are dioramas that explain about the history of Jakarta in the first floor, and the second will be small stadium to see the Big map on the wall or Garuda’s bird which is Indonesia Symbol. And the last 3rd floor is the resepsionis where we can show the ticket to access the peak monument. There will be a small lift and the man who can operate the lift, while you can listen to Indonesian song in the lift they play. And finally you can see the top of Jakarta View from Monument. You can see the old library or National Library of Jakarta, Istiqlal Mosque, HI roundabout and many more. Which only 24K it’s all worth it. Also when you’re finished to explore, they have free like car (odong”) or bagy car whatever you name it. It’s free as long as you still have your ticket, so don’t throw away. It will be beneficial to take you to the front gate without walking far away. Well, local said; “ you have not visit Jakarta if you don’t come to National Monument. “",for those who visit this place fyi theyre closed in every monday you can only take picture outside the monument after second day visit i finally can explore the monument until reach the top of it i spend time to see around and finally found the gate to enter inside to explore the museum and the top you must buy the ticket under ground do not enter the gate around monument without ticket you will be shouted from the security there and they asked you to enter from the ground the ticket price for adult is k only museum visit and k for peak monument visit inside there are dioramas that explain about the history of jakarta in the first floor and the second will be small stadium to see the big map on the wall or garudas bird which is indonesia symbol and the last rd floor is the resepsionis where we can show the ticket to access the peak monument there will be a small lift and the man who can operate the lift while you can listen to indonesian song in the lift they play and finally you can see the top of jakarta view from monument you can see the old library or national library of jakarta istiqlal mosque hi roundabout and many more which only k its all worth it also when youre finished to explore they have free like car odong or bagy car whatever you name it its free as long as you still have your ticket so dont throw away it will be beneficial to take you to the front gate without walking far away well local said you have not visit jakarta if you dont come to national monument,Puas,2
Monas Jakarta,5,"Monas remains one of Jakarta’s most iconic landmarks, offering rich history, impressive architecture, and a great panoramic view of the city. The surrounding park is spacious and enjoyable for walking, making it a worthwhile stop for both tourists and locals.

However, the experience can be improved, especially for visitors with disabilities. The facilities are still quite limited, making accessibility challenging for those who require additional support. Additionally, there is only one lift available for all visitors heading to the top, which results in long waiting times and slower movement, especially during busy hours.

Despite these areas for improvement, Monas is still a significant cultural attraction with plenty to appreciate. A better focus on accessibility and visitor flow would elevate it even more.",monas remains one of jakartas most iconic landmarks offering rich history impressive architecture and a great panoramic view of the city the surrounding park is spacious and enjoyable for walking making it a worthwhile stop for both tourists and locals however the experience can be improved especially for visitors with disabilities the facilities are still quite limited making accessibility challenging for those who require additional support additionally there is only one lift available for all visitors heading to the top which results in long waiting times and slower movement especially during busy hours despite these areas for improvement monas is still a significant cultural attraction with plenty to appreciate a better focus on accessibility and visitor flow would elevate it even more,Puas,1
Monas Jakarta,5,"MONAS is one of must-visit spot in Jakarta while you visiting here. If you want to get to the top of the monument, the ticket can be bought as you walk in. Only 1000 pax each day available.
Coming here in the morning is highly recommended to avoid congestion and overcrowd.
To get the ticket, you need to access from the back side of the building. Many of visitors got confused knowing that the front area where mostly people walk in to, not yet to be open as a main entrance. It is a bit inconvenient. But there is a free shuttle that can take you to the ticketing station.
Hope this helps you to better plan your visit soon 😉",monas is one of mustvisit spot in jakarta while you visiting here if you want to get to the top of the monument the ticket can be bought as you walk in only pax each day available coming here in the morning is highly recommended to avoid congestion and overcrowd to get the ticket you need to access from the back side of the building many of visitors got confused knowing that the front area where mostly people walk in to not yet to be open as a main entrance it is a bit inconvenient but there is a free shuttle that can take you to the ticketing station hope this helps you to better plan your visit soon,Puas,2
Taman Mini Indonesia Indah,5,"This is one of my favorite places I’ve visited in Jakarta 😍 It’s truly beautiful, full of nature and greenery. You can rent an electric scooter or bike to get around there are also free shuttle buses provided. There are many places selling snacks, biscuits, and food. I loved seeing the different Indonesian cultures and provinces, as well as the temples with their beautiful designs. I also loved the different areas and the photobooths provided. The staff are very helpful and friendly, all the museums are lovely, and it’s such an amazing experience. I would definitely recommend visiting if you’re in Jakarta!❤️",this is one of my favorite places ive visited in jakarta its truly beautiful full of nature and greenery you can rent an electric scooter or bike to get around there are also free shuttle buses provided there are many places selling snacks biscuits and food i loved seeing the different indonesian cultures and provinces as well as the temples with their beautiful designs i also loved the different areas and the photobooths provided the staff are very helpful and friendly all the museums are lovely and its such an amazing experience i would definitely recommend visiting if youre in jakarta,Puas,1
